theta(град)   d_times   d_db
0.000000   0.000000   -90.000000
0.090045   0.000002   -57.014929
0.180090   0.000008   -50.995955
0.270135   0.000018   -47.474409
0.360180   0.000032   -44.975706
0.450225   0.000050   -43.037509
0.540270   0.000072   -41.453855
0.630315   0.000097   -40.114870
0.720360   0.000127   -38.954966
0.810405   0.000161   -37.931836
0.900450   0.000199   -37.016595
0.990495   0.000241   -36.188639
1.080540   0.000286   -35.432754
1.170585   0.000336   -34.737387
1.260630   0.000390   -34.093559
1.350675   0.000447   -33.494149
1.440720   0.000509   -32.933418
1.530765   0.000575   -32.406673
1.620810   0.000644   -31.910025
1.710855   0.000718   -31.440216
1.800901   0.000795   -30.994491
1.890946   0.000877   -30.570498
1.980991   0.000962   -30.166213
2.071036   0.001052   -29.779883
2.161081   0.001146   -29.409977
2.251126   0.001243   -29.055154
2.341171   0.001345   -28.714229
2.431216   0.001450   -28.386153
2.521261   0.001560   -28.069990
2.611306   0.001673   -27.764902
2.701351   0.001791   -27.470139
2.791396   0.001912   -27.185022
2.881441   0.002038   -26.908938
2.971486   0.002167   -26.641330
3.061531   0.002301   -26.381692
3.151576   0.002438   -26.129561
3.241621   0.002580   -25.884514
3.331666   0.002725   -25.646161
3.421711   0.002875   -25.414145
3.511756   0.003028   -25.188136
3.601801   0.003186   -24.967830
3.691846   0.003347   -24.752944
3.781891   0.003513   -24.543217
3.871936   0.003683   -24.338406
3.961981   0.003856   -24.138283
4.052026   0.004034   -23.942638
4.142071   0.004216   -23.751273
4.232116   0.004401   -23.564005
4.322161   0.004591   -23.380659
4.412206   0.004785   -23.201074
4.502251   0.004983   -23.025098
4.592296   0.005185   -22.852587
4.682341   0.005391   -22.683406
4.772386   0.005601   -22.517428
4.862431   0.005815   -22.354533
4.952476   0.006033   -22.194607
5.042521   0.006255   -22.037543
5.132566   0.006482   -21.883240
5.222611   0.006712   -21.731600
5.312656   0.006946   -21.582534
5.402701   0.007185   -21.435953
5.492746   0.007427   -21.291775
5.582791   0.007674   -21.149922
5.672836   0.007924   -21.010320
5.762881   0.008179   -20.872896
5.852927   0.008438   -20.737584
5.942972   0.008701   -20.604318
6.033017   0.008968   -20.473036
6.123062   0.009239   -20.343680
6.213107   0.009514   -20.216193
6.303152   0.009794   -20.090521
6.393197   0.010077   -19.966612
6.483242   0.010365   -19.844416
6.573287   0.010656   -19.723887
6.663332   0.010952   -19.604978
6.753377   0.011252   -19.487646
6.843422   0.011556   -19.371849
6.933467   0.011864   -19.257546
7.023512   0.012177   -19.144699
7.113557   0.012493   -19.033270
7.203602   0.012814   -18.923223
7.293647   0.013139   -18.814524
7.383692   0.013467   -18.707140
7.473737   0.013801   -18.601038
7.563782   0.014138   -18.496187
7.653827   0.014479   -18.392559
7.743872   0.014825   -18.290123
7.833917   0.015175   -18.188852
7.923962   0.015528   -18.088720
8.014007   0.015887   -17.989700
8.104052   0.016249   -17.891767
8.194097   0.016615   -17.794897
8.284142   0.016986   -17.699067
8.374187   0.017361   -17.604254
8.464232   0.017740   -17.510437
8.554277   0.018123   -17.417593
8.644322   0.018511   -17.325702
8.734367   0.018903   -17.234744
8.824412   0.019299   -17.144701
8.914457   0.019699   -17.055553
9.004502   0.020104   -16.967282
9.094547   0.020512   -16.879871
9.184592   0.020925   -16.793302
9.274637   0.021342   -16.707559
9.364682   0.021764   -16.622626
9.454727   0.022190   -16.538487
9.544772   0.022620   -16.455126
9.634817   0.023054   -16.372530
9.724862   0.023493   -16.290684
9.814908   0.023936   -16.209573
9.904953   0.024383   -16.129185
9.994998   0.024834   -16.049505
10.085043   0.025290   -15.970522
10.175088   0.025750   -15.892222
10.265133   0.026214   -15.814594
10.355178   0.026683   -15.737625
10.445223   0.027156   -15.661305
10.535268   0.027634   -15.585621
10.625313   0.028115   -15.510563
10.715358   0.028601   -15.436120
10.805403   0.029092   -15.362282
10.895448   0.029587   -15.289038
10.985493   0.030086   -15.216379
11.075538   0.030589   -15.144296
11.165583   0.031097   -15.072777
11.255628   0.031610   -15.001815
11.345673   0.032126   -14.931401
11.435718   0.032647   -14.861525
11.525763   0.033173   -14.792179
11.615808   0.033703   -14.723355
11.705853   0.034237   -14.655044
11.795898   0.034776   -14.587239
11.885943   0.035319   -14.519932
11.975988   0.035866   -14.453115
12.066033   0.036418   -14.386781
12.156078   0.036975   -14.320922
12.246123   0.037536   -14.255531
12.336168   0.038101   -14.190602
12.426213   0.038671   -14.126128
12.516258   0.039245   -14.062101
12.606303   0.039824   -13.998516
12.696348   0.040408   -13.935366
12.786393   0.040995   -13.872645
12.876438   0.041588   -13.810347
12.966483   0.042185   -13.748465
13.056528   0.042786   -13.686994
13.146573   0.043392   -13.625928
13.236618   0.044002   -13.565262
13.326663   0.044617   -13.504990
13.416708   0.045237   -13.445106
13.506753   0.045861   -13.385606
13.596798   0.046489   -13.326485
13.686843   0.047122   -13.267736
13.776888   0.047760   -13.209355
13.866934   0.048402   -13.151338
13.956979   0.049049   -13.093680
14.047024   0.049701   -13.036375
14.137069   0.050357   -12.979420
14.227114   0.051017   -12.922809
14.317159   0.051683   -12.866539
14.407204   0.052353   -12.810604
14.497249   0.053027   -12.755002
14.587294   0.053707   -12.699727
14.677339   0.054390   -12.644776
14.767384   0.055079   -12.590144
14.857429   0.055772   -12.535827
14.947474   0.056470   -12.481823
15.037519   0.057173   -12.428126
15.127564   0.057880   -12.374734
15.217609   0.058592   -12.321642
15.307654   0.059308   -12.268846
15.397699   0.060030   -12.216345
15.487744   0.060756   -12.164133
15.577789   0.061486   -12.112207
15.667834   0.062222   -12.060565
15.757879   0.062962   -12.009203
15.847924   0.063707   -11.958117
15.937969   0.064457   -11.907304
16.028014   0.065211   -11.856762
16.118059   0.065971   -11.806488
16.208104   0.066735   -11.756477
16.298149   0.067504   -11.706727
